nome_normalizado;nome_exemplo;quantidade_cadastros;quantidade_contextos;quantidade_geometrias_validas;quantidade_geometrias_unicas;quantidade_geometrias_compartilhadas;distancia_maxima_entre_centros_m;extensao_maxima_da_geometria_m;status;ids;bairros;ceps;distritos
CALIFORNIA;RUA CALIFÓRNIA;2;2;2;1;2;0.0;14143.6;geometria_compartilhada_contextos_distintos;544,1537;Parque Novo Jockey,Parque Santa Rosa;28020850,28085390;608,618
BEIRA VALAO;RUA BEIRA VALÃO;2;2;2;1;2;0.0;445.9;geometria_compartilhada_contextos_distintos;552,859;Parque Novo Jockey,Parque Penha;28020864,28022240;608,611
DAS ACACIAS;AVENIDA DAS ACÁCIAS;3;3;3;1;3;0.0;2900.9;geometria_compartilhada_contextos_distintos;554,568,1017;Fazenda Santo Antônio,Parque Penha,Parque Tarcisio Miranda;28020197,28022140,28023009;608,613
ANTONIO DA SILVA NETO;RUA ANTÔNIO DA SILVA NETO;2;2;2;1;2;0.0;532.6;geometria_compartilhada_contextos_distintos;557,669;Goytacazes,Parque Imperial;28022260,28023806;608,609
TREZE;RUA TREZE;3;3;3;1;3;0.0;33037.7;geometria_compartilhada_contextos_distintos;607,731,2057;Parque Alvorada,Parque Penha,Parque Tropical;28021680,28022830,28083155;609,610,622
DOUTOR ARTHUR BERNARDES LOT JD FLAMBOYANT;AVENIDA DOUTOR ARTHUR BERNARDES (LOT JD FLAMBOYANT);2;2;2;1;2;0.0;723.9;geometria_compartilhada_contextos_distintos;624,1202;Flamboyant;28020111;609,615
LOUVIVAL MARTINS BEDA;AVENIDA LOUVIVAL MARTINS BEDA;2;2;2;1;2;0.0;2750.3;geometria_compartilhada_contextos_distintos;655,656;Donana,Fazenda Santo Antônio;28023135,28023235;609
TERTULIANO VIANA;RUA TERTULIANO VIANA;2;2;2;1;2;0.0;266.6;geometria_compartilhada_contextos_distintos;670,680;Parque Jóquei Club,Parque Novo Jockey;28020015,28020869;610
SEIS;RUA SEIS;4;4;4;1;4;0.0;16933.0;geometria_compartilhada_contextos_distintos;724,878,2032,2055;Alphaville,Parque Boa Vista,Parque Penha,Parque Zuza Mota;28021610,28024710,28073550,28083765;610,611,622
SETE;RUA SETE;2;2;2;1;2;0.0;21174.5;geometria_compartilhada_contextos_distintos;725,2038;Parque Boa Vista,Parque Penha;28021620,28073540;610,622
OITO;RUA OITO;2;2;2;1;2;0.0;21391.0;geometria_compartilhada_contextos_distintos;726,2022;Parque Boa Vista,Parque Penha;28021630,28073560;610,622
NOVE;RUA NOVE;2;2;2;1;2;0.0;28109.5;geometria_compartilhada_contextos_distintos;727,2020;Parque Boa Vista,Parque Penha;28021640,28073563;610,622
QUINZE;RUA QUINZE;2;2;2;1;2;0.0;304.9;geometria_compartilhada_contextos_distintos;733,2051;Parque Alvorada,Parque Penha;28021700,28083720;610,622
