nome_base_normalizado;nomes_cadastrados;quantidade_cadastros;quantidade_contextos;status;ids;bairros;ceps;distritos
SANTO AMARO;RUA SANTO AMARO | TRAVESSA SANTO AMARO;3;3;ambiguidade_por_contexto;279,1803,1820;Goytacazes,Parque Visconde de Ururaí,Vila Industrial;28023471,28070326,28090017;605,620
SANTO ANTONIO;PRAÇA SANTO ANTÔNIO | RUA SANTO ANTÔNIO | TRAVESSA SANTO ANTÔNIO;3;3;ambiguidade_por_contexto;1012,1459,1501;Parque Jóquei Club,Parque Santo Antônio;28022085,28080515,28080525;613,617
SANTO EDUARDO;RUA SANTO EDUARDO | TRAVESSA SANTO EDUARDO;2;2;ambiguidade_por_contexto;1805,1825;Parque Visconde de Ururaí;28070245,28070246;620
SAO CLEMENTE;RUA SÃO CLEMENTE;2;2;ambiguidade_por_contexto;444,950;Goytacazes,Parque Maciel;28023734,28025560;607,612
SAO GONCALO;RUA SÃO GONÇALO;3;3;ambiguidade_por_contexto;197,1809,1924;Goytacazes,Parque Guarus,Parque São Mateus;28023592,28070216,28073225;604,620,621
SAO JOAO DA BARRA;AVENIDA SÃO JOÃO DA BARRA - DE 1171 AO FIM - LADO ÍMPAR | AVENIDA SÃO JOÃO DA BARRA - DE 492 AO FIM - LADO PAR | RUA SÃO JOÃO DA BARRA;3;3;ambiguidade_por_contexto;255,256,1926;Parque Califórnia,Parque Guarus;28015471,28015472,28073110;605,621
SAPUCAINHA;RUA SAPUCAINHA | TRAVESSA SAPUCAINHA;2;2;ambiguidade_por_contexto;1812,1822;Parque São Silvestre,Vila Industrial;28090012,28090525;620
SARDINHA;AVENIDA SARDINHA | TRAVESSA SARDINHA;2;2;ambiguidade_por_contexto;2147,2201;Parque Bonsucesso,Parque Novo Mundo;28085125,28085505;624
SEIS;RUA SEIS;4;4;ambiguidade_por_contexto;724,878,2032,2055;Alphaville,Parque Boa Vista,Parque Penha,Parque Zuza Mota;28021610,28024710,28073550,28083765;610,611,622
SENADOR JOSE CARLOS PEREIRA PINTO;AVENIDA SENADOR JOSÉ CARLOS PEREIRA PINTO - ATÉ 294 - LADO PAR | AVENIDA SENADOR JOSÉ CARLOS PEREIRA PINTO - ATÉ 301 - LADO ÍMPAR | AVENIDA SENADOR JOSÉ CARLOS PEREIRA PINTO - DE 296 A 820 - LADO PAR | AVENIDA SENADOR JOSÉ CARLOS PEREIRA PINTO - DE 303 A 751 - LADO ÍMPAR | AVENIDA SENADOR JOSÉ CARLOS PEREIRA PINTO - DE 753 AO FIM - LADO ÍMPAR | AVENIDA SENADOR JOSÉ CARLOS PEREIRA PINTO - DE 822 AO FIM - LADO PAR;6;6;ambiguidade_por_contexto;1617,1619,2149,2151,2153,2155;Parque Calabouço,Parque Novo Mundo,Parque Presidente Vargas,Parque Vicente Gonçalves Dias;28080791,28080792,28083101,28083102,28083426,28083463;619,624
SENADOR TARCISIO MIRANDA;AVENIDA SENADOR TARCÍSIO MIRANDA - ATÉ 315 - LADO ÍMPAR | AVENIDA SENADOR TARCÍSIO MIRANDA - ATÉ 340 - LADO PAR | AVENIDA SENADOR TARCÍSIO MIRANDA - DE 317 AO FIM - LADO ÍMPAR | AVENIDA SENADOR TARCÍSIO MIRANDA - DE 342 AO FIM - LADO PAR;4;4;ambiguidade_por_contexto;1006,1007,1199,1200;Parque Turf Club;28020801,28020802,28022041,28022042;613,615
SERVIDAO VIEIRA DA SILVA;RUA SERVIDÃO VIEIRA DA SILVA | SERVIDÃO VIEIRA DA SILVA;2;2;ambiguidade_por_contexto;762,777;Parque Aurora;28025470,28025840;610
SETE;RUA SETE;2;2;ambiguidade_por_contexto;725,2038;Parque Boa Vista,Parque Penha;28021620,28073540;610,622
SETE DE SETEMBRO;AVENIDA SETE DE SETEMBRO - ATÉ 206 - LADO PAR | AVENIDA SETE DE SETEMBRO - ATÉ 221 - LADO ÍMPAR | AVENIDA SETE DE SETEMBRO - DE 230 AO 490 - LADO PAR | AVENIDA SETE DE SETEMBRO - DE 235 AO 509 - LADO ÍMPAR;4;4;ambiguidade_por_contexto;74,75,134,135;Centro;28010561,28010562,28013331,28013332;602,603
SIQUEIRA E SILVA;RUA SIQUEIRA E SILVA | TRAVESSA SIQUEIRA E SILVA;2;2;ambiguidade_por_contexto;310,319;Centro;28013013,28013540;606
TENENTE CORONEL CARDOSO;RUA TENENTE-CORONEL CARDOSO - ATÉ 424 - LADO PAR | RUA TENENTE-CORONEL CARDOSO - ATÉ 427 - LADO ÍMPAR | RUA TENENTE-CORONEL CARDOSO - DE 445 A 555 - LADO ÍMPAR | RUA TENENTE-CORONEL CARDOSO - DE 460 A 526 - LADO PAR;4;4;ambiguidade_por_contexto;76,77,140,141;Centro,Parque Califórnia;28010801,28010802,28013461,28013462;602,603
TERTULIANO VIANA;RUA TERTULIANO VIANA;2;2;ambiguidade_por_contexto;670,680;Parque Jóquei Club,Parque Novo Jockey;28020015,28020869;610
TRES;AVENIDA TRÊS | RUA TRÊS;3;3;ambiguidade_por_contexto;1951,2042,2059;Parque Boa Vista,Parque Presidente Vargas;28073530,28083333,28083775;622
TREZE;RUA TREZE;3;3;ambiguidade_por_contexto;607,731,2057;Parque Alvorada,Parque Penha,Parque Tropical;28021680,28022830,28083155;609,610,622
UM;PRAÇA UM | RUA UM;3;3;ambiguidade_por_contexto;1856,2044,2072;Parque Aeroporto,Parque Boa Vista,Parque Guarus;28070700,28073557,28093530;621,622,623
VEREADOR AMARO SOARES;RUA VEREADOR AMARO SOARES | TRAVESSA VEREADOR AMARO SOARES;2;2;ambiguidade_por_contexto;291,292;Goytacazes;28023568,28023569;605
VINTE DE MAIO;TRAVESSA VINTE DE MAIO;2;2;ambiguidade_por_contexto;775,776;Parque Aurora,Parque São Benedito;28025685,28025780;610
VISCONDE DE ITABORAI;RUA VISCONDE DE ITABORAÍ - ATÉ 105 - LADO ÍMPAR | RUA VISCONDE DE ITABORAÍ - ATÉ 80 - LADO PAR | RUA VISCONDE DE ITABORAÍ - DE 107 A 515 - LADO ÍMPAR | RUA VISCONDE DE ITABORAÍ - DE 519 AO 839 - LADO ÍMPAR | RUA VISCONDE DE ITABORAÍ - DE 520 AO 826 - LADO PAR | RUA VISCONDE DE ITABORAÍ - DE 82 A 510 - LADO PAR;6;6;ambiguidade_por_contexto;31,32,92,93,471,472;Parque Rosário;28010571,28010572,28026148,28026149,28027141,28027142;601,602,607
WILSON BATISTA;AVENIDA WILSON BATISTA | TRAVESSA WILSON BATISTA;2;2;ambiguidade_por_contexto;1618,1714;Parque Aldeia;28060555,28060560;619
ZUZA MOTA;AVENIDA ZUZA MOTA;3;3;ambiguidade_por_contexto;1953,1955,1957;Parque Alvorada,Parque Calabouço,Parque Presidente Vargas;28083000,28083461,28083735;622
