nome_base_normalizado;nomes_cadastrados;quantidade_cadastros;quantidade_contextos;status;ids;bairros;ceps;distritos
CARLOS ALBERTO CHEBABE;AVENIDA CARLOS ALBERTO CHEBABE - ATÉ 468 - LADO PAR | AVENIDA CARLOS ALBERTO CHEBABE - ATÉ 477 - LADO ÍMPAR | AVENIDA CARLOS ALBERTO CHEBABE - DE 470 A 700 - LADO PAR | AVENIDA CARLOS ALBERTO CHEBABE - DE 479 A 715 - LADO ÍMPAR | AVENIDA CARLOS ALBERTO CHEBABE - DE 702 AO FIM - LADO PAR | AVENIDA CARLOS ALBERTO CHEBABE - DE 717 AO FIM - LADO ÍMPAR;6;6;ambiguidade_por_contexto;1948,1950,1952,1954,1956,1958;Parque Guarus,Parque Vera Cruz;28060001,28060002,28070271,28070272,28073506,28073507;622
CARLOS LACERDA;RUA CARLOS LACERDA - ATÉ 137 - LADO ÍMPAR | RUA CARLOS LACERDA - ATÉ 146 - LADO PAR | RUA CARLOS LACERDA - DE 419 AO FIM - LADO ÍMPAR | RUA CARLOS LACERDA - DE 420 AO FIM - LADO PAR;6;6;ambiguidade_por_contexto;60,61,110,111,481,482;Centro,Parque Rosário;28010241,28010242,28027181,28027182;602,603,607
CASIMIRO DE ABREU;RUA CASIMIRO DE ABREU;2;2;ambiguidade_por_contexto;1474,1872;Parque Guarus,Parque Vicente Gonçalves Dias;28070550,28080240;617,621
CINCO;RUA CINCO;4;4;ambiguidade_por_contexto;876,1730,1889,1990;Alphaville,Parque Bandeirantes,Parque Boa Vista,Vila Industrial;28024706,28073720,28085165,28090030;611,620,621,622
CLERIO PINHEIRO;RUA CLÉRIO PINHEIRO;2;2;ambiguidade_por_contexto;262,264;Donana,Goytacazes;28023393,28023451;605
CRISTOVAN LYSANDRO DE ALBERNAZ;AVENIDA CRISTOVAN LYSANDRO DE ALBERNAZ - ATÉ 218 - LADO PAR | AVENIDA CRISTOVAN LYSANDRO DE ALBERNAZ - ATÉ 245 - LADO ÍMPAR | AVENIDA CRISTOVAN LYSANDRO DE ALBERNAZ - DE 220 AO FIM - LADO PAR | AVENIDA CRISTOVAN LYSANDRO DE ALBERNAZ - DE 247 AO FIM - LADO ÍMPAR;4;4;ambiguidade_por_contexto;1838,1840,1842,1844;Parque Guarus;28070576,28070577,28073251,28073252;621
CURIO;RUA CURIO | RUA CURIÓ;2;2;ambiguidade_por_contexto;493,1300;Goytacazes,nan;28023760,28146067;607,616
DAS ACACIAS;AVENIDA DAS ACÁCIAS | RUA DAS ACÁCIAS;3;3;ambiguidade_por_contexto;554,568,1017;Fazenda Santo Antônio,Parque Penha,Parque Tarcisio Miranda;28020197,28022140,28023009;608,613
DEPUTADO ALAIR FERREIRA;AVENIDA DEPUTADO ALAIR FERREIRA | AVENIDA DEPUTADO ALAIR FERREIRA - ATÉ 410 - LADO PAR | AVENIDA DEPUTADO ALAIR FERREIRA - ATÉ 513 - LADO ÍMPAR | AVENIDA DEPUTADO ALAIR FERREIRA - DE 412 A 800 - LADO PAR | AVENIDA DEPUTADO ALAIR FERREIRA - DE 515 AO FIM - LADO ÍMPAR | AVENIDA DEPUTADO ALAIR FERREIRA - DE 6 AO 586 - LADO PAR;6;6;ambiguidade_por_contexto;164,191,192,668,1210,1214;Centro,Goytacazes,Parque Turf Club;28010810,28013630,28015020,28023614,28024600,28027620;604,609,615
DEPUTADO BARTOLOMEU LIZANDRO;AVENIDA DEPUTADO BARTOLOMEU LIZANDRO - LADO PAR;5;5;ambiguidade_por_contexto;1453,1455,1457,1520,1522;Parque Fundão,Parque Jardim Carioca,Parque Santo Antônio,Parque Vera Cruz,Parque Vicente Gonçalves Dias;28060210,28060223,28080267,28080390,28080547;617,618
DEPUTADO NELSON MARTINS;RUA DEPUTADO NELSON MARTINS - ATÉ 109 - LADO ÍMPAR | RUA DEPUTADO NELSON MARTINS - ATÉ 88 - LADO PAR | RUA DEPUTADO NELSON MARTINS - DE 111 AO FIM - LADO ÍMPAR | RUA DEPUTADO NELSON MARTINS - DE 90 AO FIM - LADO PAR;4;4;ambiguidade_por_contexto;323,324,329,330;Parque Califórnia;28013691,28013692,28015351,28015352;606
DO CAPAO;ESTRADA DO CAPÃO;2;2;ambiguidade_por_contexto;782,893;Parque Aurora,Parque São Benedito;28025490,28026495;610,611
DOIS;AVENIDA DOIS | PRAÇA DOIS | RUA DOIS;6;6;ambiguidade_por_contexto;1854,1895,1949,1996,1998,2065;Jardim Lagoa das Pedras,Parque Aeroporto,Parque Barão do Rio Branco,Parque Boa Vista,Parque Guarus,Parque Presidente Vargas;28070040,28073580,28073700,28083331,28085510,28093130;621,622,623
DOMINGOS VIANA DE 312 AO 522;RUA DOMINGOS VIANA – DE 312 AO 522;2;2;ambiguidade_por_contexto;169,172;Parque Turf Club;28013085,28024140;604
DOMINGOS VIANA DE 387 AO 569;RUA DOMINGOS VIANA – DE 387 AO 569;2;2;ambiguidade_por_contexto;170,173;Parque Turf Club;28013085,28024140;604
DOS GOYTACAZES;RUA DOS GOYTACAZES - ATÉ 562 - LADO PAR | RUA DOS GOYTACAZES - ATÉ 607 - LADO ÍMPAR | RUA DOS GOYTACAZES - DE 564 A 976 - LADO PAR | RUA DOS GOYTACAZES - DE 609 A 1041 - LADO ÍMPAR | RUA DOS GOYTACAZES - DE 850 AO FIM - LADO PAR | RUA DOS GOYTACAZES - DE 915 AO FIM - LADO ÍMPAR;8;8;ambiguidade_por_contexto;122,123,124,132,959,960,1044,1045;Centro,Parque Turf Club;28010460,28013266,28026601,28026602,28027231,28027232;603,612,613
DOUTOR ARTHUR BERNARDES LOT JD FLAMBOYANT;AVENIDA DOUTOR ARTHUR BERNARDES (LOT JD FLAMBOYANT);2;2;ambiguidade_por_contexto;624,1202;Flamboyant;28020111;609,615
DOUTOR BEDA;RUA DOUTOR BEDA - ATÉ 327 - LADO ÍMPAR | RUA DOUTOR BEDA - ATÉ 402 - LADO PAR | RUA DOUTOR BEDA - DE 319 AO 751 - LADO ÍMPAR | RUA DOUTOR BEDA - DE 329 A 577 - LADO ÍMPAR | RUA DOUTOR BEDA - DE 370 AO 798 - LADO PAR | RUA DOUTOR BEDA - DE 404 A 618 - LADO PAR | TRAVESSA DOUTOR BEDA;7;7;ambiguidade_por_contexto;81,82,106,107,741,1064,1065;Parque Rosário,Parque São Benedito;28025110,28025811,28025812,28026591,28026592,28027817,28027818;602,610,613
