rua_id;nome_rua;nome_normalizado;nome_base_normalizado;bairro;cep;distrito;estado_geometria;hash_geometria;extensao_geometria_m;distancia_minima_outra_geometria_m;status_grupo;ids_do_grupo;quantidade_cadastros_base;quantidade_contextos_base;risco_casamento_osm;ids_chave_base
822;RUA C;C;C;Vivendas do Coqueiro II;28021370;611;valida;85afb0d3a44f3e4b;74545.0;0.0;geometria_compartilhada_contextos_distintos;822,1533;2;2;ambiguidade_por_contexto;822,1533
1533;RUA C;C;C;Custodópolis;28085105;618;valida;85afb0d3a44f3e4b;74545.0;0.0;geometria_compartilhada_contextos_distintos;822,1533;2;2;ambiguidade_por_contexto;822,1533
60;RUA CARLOS LACERDA - ATÉ 137 - LADO ÍMPAR;CARLOS LACERDA ATE 137 LADO IMPAR;CARLOS LACERDA;Centro;28010241;602;valida;602d81bf53733aec;2320.9;0.0;geometria_compartilhada_contextos_distintos;60,110;6;6;ambiguidade_por_contexto;60,61,110,111,481,482
110;RUA CARLOS LACERDA - ATÉ 137 - LADO ÍMPAR;CARLOS LACERDA ATE 137 LADO IMPAR;CARLOS LACERDA;Centro;28010241;603;valida;602d81bf53733aec;2320.9;0.0;geometria_compartilhada_contextos_distintos;60,110;6;6;ambiguidade_por_contexto;60,61,110,111,481,482
61;RUA CARLOS LACERDA - ATÉ 146 - LADO PAR;CARLOS LACERDA ATE 146 LADO PAR;CARLOS LACERDA;Centro;28010242;602;valida;602d81bf53733aec;2320.9;0.0;geometria_compartilhada_contextos_distintos;61,111;6;6;ambiguidade_por_contexto;60,61,110,111,481,482
111;RUA CARLOS LACERDA - ATÉ 146 - LADO PAR;CARLOS LACERDA ATE 146 LADO PAR;CARLOS LACERDA;Centro;28010242;603;valida;602d81bf53733aec;2320.9;0.0;geometria_compartilhada_contextos_distintos;61,111;6;6;ambiguidade_por_contexto;60,61,110,111,481,482
876;RUA CINCO;CINCO;CINCO;Alphaville;28024706;611;valida;d648b59eadb856af;16850.1;0.0;geometria_compartilhada_contextos_distintos;876,1730,1889,1990;4;4;ambiguidade_por_contexto;876,1730,1889,1990
1730;RUA CINCO;CINCO;CINCO;Vila Industrial;28090030;620;valida;d648b59eadb856af;16850.1;0.0;geometria_compartilhada_contextos_distintos;876,1730,1889,1990;4;4;ambiguidade_por_contexto;876,1730,1889,1990
1889;RUA CINCO;CINCO;CINCO;Parque Bandeirantes;28085165;621;valida;d648b59eadb856af;16850.1;0.0;geometria_compartilhada_contextos_distintos;876,1730,1889,1990;4;4;ambiguidade_por_contexto;876,1730,1889,1990
1990;RUA CINCO;CINCO;CINCO;Parque Boa Vista;28073720;622;valida;d648b59eadb856af;16850.1;0.0;geometria_compartilhada_contextos_distintos;876,1730,1889,1990;4;4;ambiguidade_por_contexto;876,1730,1889,1990
262;RUA CLÉRIO PINHEIRO;CLERIO PINHEIRO;CLERIO PINHEIRO;Donana;28023393;605;valida;f26d5888bfb0fe2e;2009.9;0.0;geometria_compartilhada_contextos_distintos;262,264;2;2;ambiguidade_por_contexto;262,264
