178	TRAVESSA HORÁCIO DE SOUZA	{"type":"MultiLineString","coordinates":[[[-41.317616701126106,-21.76726603493189],[-41.31704270839692,-21.76766446196302]]]}
279	RUA SANTO AMARO	{"type":"MultiLineString","coordinates":[[[-41.29280090332032,-21.826633251982877],[-41.29130959510804,-21.8248012326473]]]}
304	RUA CAMPO ALEGRE	{"type":"MultiLineString","coordinates":[[[-41.28250122070313,-21.830335535694445],[-41.28158390522004,-21.83059937754359]]]}
305	RUA ALECRIM	{"type":"MultiLineString","coordinates":[[[-41.28222227096558,-21.829730517502842],[-41.28100991249085,-21.83006903291698]]]}
416	RUA NOVA	{"type":"MultiLineString","coordinates":[[[-41.27378940582276,-21.828087000640636],[-41.27366065979004,-21.825129900895885],[-41.273156404495246,-21.82372519591054]]]}
493	RUA CURIÓ	{"type":"MultiLineString","coordinates":[[[-41.2581937,-21.8357593],[-41.2579831,-21.8353759],[-41.2569438,-21.8332409],[-41.2559225,-21.8311544]]]}
495	RUA SÃO DOMINGOS	{"type":"MultiLineString","coordinates":[[[-41.25691831111908,-21.836573577250956],[-41.25455260276795,-21.834043635422788]]]}
549	RUA BARCELOS MARTINS	{"type":"MultiLineString","coordinates":[[[-41.275656223297126,-21.783311557762328],[-41.27381086349488,-21.780980998186987]]]}
796	RUA JOCA CASTRO	{"type":"MultiLineString","coordinates":[[[-41.29196405410767,-21.79782746445752],[-41.288927793502815,-21.79511870872009]]]}
973	RUA BARROS BARRETO	{"type":"MultiLineString","coordinates":[[[-41.32322788238526,-21.775562803501355],[-41.32278800010682,-21.77438252518915]],[[-41.322594881057746,-21.775697264971274],[-41.322407126426704,-21.77447216692077]]]}
1004	RUA ALECRIM	{"type":"MultiLineString","coordinates":[[[-41.299678087234504,-21.788982980494858],[-41.29770398139954,-21.79093496674351]]]}
1012	TRAVESSA SANTO ANTÔNIO	{"type":"MultiLineString","coordinates":[[[-41.298149228096015,-21.786912943970204],[-41.29729628562928,-21.78637513940264]]]}
